Rank|Name|Yr|Pos|G|Att|Yards|Avg|TD|Att/G|Yards/G|TeamID|Year
1.0|Arion Worthman|JR|QB|7|163|642|3.94|12|23.29|91.71|721|2017
2.0|Tim McVey|SR|RB|7|81|519|6.41|6|11.57|74.14|721|2017
3.0|Ronald Cleveland|JR|WR|7|30|344|11.47|3|4.29|49.14|721|2017
4.0|Parker Wilson|JR|RB|7|44|200|4.55|0|6.29|28.57|721|2017
5.0|Nolan Eriksen|SO|RB|6|31|198|6.39|1|5.17|33.00|721|2017
6.0|Taven Birdow|SO|RB|4|36|160|4.44|1|9.00|40.00|721|2017
7.0|Jacob Stafford|SR|RB|7|21|93|4.43|0|3.00|13.29|721|2017
8.0|Garrett Amy|JR|WR|4|11|55|5.00|1|2.75|13.75|721|2017
9.0|Nate Romine|SR|QB|3|3|44|14.67|0|1.00|14.67|721|2017
10.0|Malik Miller|JR|RB|4|7|33|4.71|1|1.75|8.25|721|2017
11.0|Aubrey Duty-Tyson|SR|RB|1|5|32|6.40|1|5.00|32.00|721|2017
12.0|Jake LaCoste|SR|WR|1|2|26|13.00|0|2.00|26.00|721|2017
13.0|Mike Schmidt|||1|1|21|21.00|0|1.00|21.00|721|2017
14.0|Christian Mallard|SO|RB|3|4|21|5.25|1|1.33|7.00|721|2017
15.0|D'Morea Wicks|SO|WR|1|2|14|7.00|0|2.00|14.00|721|2017
16.0|Isaiah Sanders|SO|QB|1|2|11|5.50|0|2.00|11.00|721|2017
17.0|Colton Parton|SO|LB|1|4|11|2.75|0|4.00|11.00|721|2017
18.0|Cole Fagan|SO|RB|5|3|9|3.00|0|0.60|1.80|721|2017
19.0|Benton Washington|SR|RB|2|1|5|5.00|0|0.50|2.50|721|2017
20.0|Tyler Williams|SR|WR|4|2|3|1.50|0|0.50|0.75|721|2017
21.0|Geraud Sanders|SO|WR|7|0|2|-|0|-|-|721|2017
22.0|Andrew Smith|JR|WR|2|2|2|1.00|0|1.00|1.00|721|2017
23.0|Charlie Scott|SO||7|1|-23|-23.00|0|0.14|-3.29|721|2017
24.0|Team|||4|7|-26|-3.71|0|1.75|-6.50|721|2017
|Total|||7|463|2390|5.16|27|66.14|341.43|721|2017
|Opponents|||7|268|1689|6.30|19|38.29|241.29|721|2017
1.0|Warren Ball|SR|RB|5|75|332|4.43|4|15.00|66.40|5|2017
2.0|Van Edwards, Jr.|JR|RB|8|63|215|3.41|2|7.88|26.88|5|2017
3.0|Manny Morgan|SR|RB|8|47|184|3.91|1|5.88|23.00|5|2017
4.0|Deltron Sands|SO|RB|8|18|103|5.72|2|2.25|12.88|5|2017
5.0|Kato Nelson|FR|QB|5|19|89|4.68|0|3.80|17.80|5|2017
6.0|Chuck Turfe|SO|RB|6|2|14|7.00|0|0.33|2.33|5|2017
7.0|Andre Williams|FR|WR|6|1|7|7.00|0|0.17|1.17|5|2017
8.0|Thomas Woodson|SR|QB|8|38|-25|-0.66|1|4.75|-3.13|5|2017
|Total|||8|263|919|3.49|10|32.88|114.88|5|2017
|Opponents|||8|315|1541|4.89|11|39.38|192.63|5|2017
1.0|Damien Harris|JR|RB|8|81|697|8.60|10|10.13|87.13|8|2017
2.0|Jalen Hurts|SO|QB|8|84|572|6.81|6|10.50|71.50|8|2017
3.0|Bo Scarbrough|JR|RB|8|81|377|4.65|6|10.13|47.13|8|2017
4.0|Najee Harris|FR|RB|8|49|282|5.76|2|6.13|35.25|8|2017
5.0|Josh Jacobs|SO|RB|6|24|171|7.13|0|4.00|28.50|8|2017
6.0|Brian Robinson Jr.|FR|RB|5|17|115|6.76|1|3.40|23.00|8|2017
7.0|Tua Tagovailoa|FR|QB|7|12|95|7.92|2|1.71|13.57|8|2017
8.0|Ronnie Clark|JR|RB|4|17|86|5.06|1|4.25|21.50|8|2017
9.0|Calvin Ridley|JR|WR|8|2|17|8.50|0|0.25|2.13|8|2017
10.0|Team|||6|10|-22|-2.20|0|1.67|-3.67|8|2017
|Total|||8|377|2390|6.34|28|47.13|298.75|8|2017
|Opponents|||8|230|531|2.31|2|28.75|66.38|8|2017
1.0|Jalin Moore|JR|RB|7|91|449|4.93|4|13.00|64.14|27|2017
2.0|Terrence Upshaw|SR|RB|6|68|314|4.62|4|11.33|52.33|27|2017
3.0|Taylor Lamb|SR|QB|7|42|279|6.64|2|6.00|39.86|27|2017
4.0|Marcus Williams Jr.|FR|RB|3|24|124|5.17|2|8.00|41.33|27|2017
5.0|Zac Thomas|FR|QB|2|6|32|5.33|0|3.00|16.00|27|2017
6.0|DeMarcus Harper|FR|RB|1|3|28|9.33|0|3.00|28.00|27|2017
7.0|De'Vonta Smith|FR|RB|1|6|15|2.50|0|6.00|15.00|27|2017
8.0|Malik Williams|FR|WR|7|3|8|2.67|0|0.43|1.14|27|2017
9.0|Daetrich Harrington|FR|RB|3|3|7|2.33|0|1.00|2.33|27|2017
10.0|Jacob Huesman|FR|QB|1|1|2|2.00|0|1.00|2.00|27|2017
11.0|Ike Lewis|SR|WR|7|1|-5|-5.00|0|0.14|-0.71|27|2017
12.0|Team|||5|6|-12|-2.00|0|1.20|-2.40|27|2017
|Total|||7|254|1241|4.89|12|36.29|177.29|27|2017
|Opponents|||7|262|981|3.74|6|37.43|140.14|27|2017
1.0|Khalil Tate|SO|QB|5|56|780|13.93|7|11.20|156.00|29|2017
2.0|J.J. Taylor|FR|RB|7|78|366|4.69|2|11.14|52.29|29|2017
3.0|Brandon Dawkins|JR|QB|5|56|358|6.39|6|11.20|71.60|29|2017
4.0|Nick Wilson|SR|RB|6|69|353|5.12|3|11.50|58.83|29|2017
5.0|Zach Green|SR|RB|7|47|266|5.66|5|6.71|38.00|29|2017
6.0|Nathan Tilford|FR|RB|6|12|116|9.67|2|2.00|19.33|29|2017
7.0|Tyrell Johnson|SR|WR|7|3|79|26.33|1|0.43|11.29|29|2017
8.0|Branden Leon|SO|RB|7|12|67|5.58|1|1.71|9.57|29|2017
9.0|Shun Brown|JR|WR|7|1|22|22.00|0|0.14|3.14|29|2017
10.0|Rhett Rodriguez|FR|QB|2|4|-1|-0.25|1|2.00|-0.50|29|2017
11.0|Team|||4|4|-7|-1.75|0|1.00|-1.75|29|2017
|Total|||7|342|2399|7.01|28|48.86|342.71|29|2017
|Opponents|||7|274|1134|4.14|17|39.14|162.00|29|2017
1.0|Kalen Ballage|SR|RB|7|93|378|4.06|5|13.29|54.00|28|2017
2.0|Demario Richard|SR|RB|6|85|309|3.64|5|14.17|51.50|28|2017
3.0|Kyle Williams|SO|WR|7|6|76|12.67|0|0.86|10.86|28|2017
4.0|Manny Wilkins|JR|QB|7|72|65|0.90|3|10.29|9.29|28|2017
5.0|N'Keal Harry|SO|WR|7|11|47|4.27|0|1.57|6.71|28|2017
6.0|Frank Darby|FR|WR|6|1|21|21.00|1|0.17|3.50|28|2017
7.0|Nick Ralston|SO|RB|7|3|18|6.00|0|0.43|2.57|28|2017
8.0|Eno Benjamin|FR|RB|4|8|13|1.63|0|2.00|3.25|28|2017
9.0|Trelon Smith|FR|RB|3|1|4|4.00|0|0.33|1.33|28|2017
10.0|Jalen Harvey|JR|WR|7|1|2|2.00|0|0.14|0.29|28|2017
11.0|Mark Cosgrove|JR|RB|1|1|0|0.00|0|1.00|0.00|28|2017
12.0|Blake Barnett|SO|QB|2|1|-3|-3.00|0|0.50|-1.50|28|2017
13.0|Ryan Newsome|SO|WR|5|1|-10|-10.00|0|0.20|-2.00|28|2017
14.0|Team|||5|8|-23|-2.88|0|1.60|-4.60|28|2017
|Total|||7|292|897|3.07|14|41.71|128.14|28|2017
|Opponents|||7|221|1154|5.22|11|31.57|164.86|28|2017
1.0|Chase Hayden|FR|RB|7|61|326|5.34|4|8.71|46.57|31|2017
2.0|David Williams|SR|RB|7|67|326|4.87|5|9.57|46.57|31|2017
3.0|Devwah Whaley|SO|RB|7|68|295|4.34|3|9.71|42.14|31|2017
4.0|Jordan Jones|FR|WR|7|5|73|14.60|0|0.71|10.43|31|2017
5.0|T.J. Hammonds|SO|WR|7|7|56|8.00|0|1.00|8.00|31|2017
6.0|Cole Kelley|FR|QB|6|35|46|1.31|0|5.83|7.67|31|2017
7.0|Jonathan Nance|JR|WR|7|2|16|8.00|0|0.29|2.29|31|2017
8.0|Deon Stewart|SO|WR|7|5|4|0.80|0|0.71|0.57|31|2017
9.0|Kendrick Jackson|JR|RB|6|1|0|0.00|0|0.17|0.00|31|2017
10.0|Team|||1|2|-2|-1.00|0|2.00|-2.00|31|2017
11.0|Austin Allen|SR|QB|5|22|-15|-0.68|0|4.40|-3.00|31|2017
|Total|||7|275|1125|4.09|12|39.29|160.71|31|2017
|Opponents|||7|255|1383|5.42|17|36.43|197.57|31|2017
1.0|Warren Wand|JR|RB|5|49|285|5.82|4|9.80|57.00|30|2017
2.0|Justice Hansen|JR|QB|6|47|220|4.68|1|7.83|36.67|30|2017
3.0|Johnston White|SR|RB|6|41|177|4.32|1|6.83|29.50|30|2017
4.0|Jamal Jones|SO|RB|6|35|157|4.49|0|5.83|26.17|30|2017
5.0|Chauncey Mason|SO|RB|4|10|85|8.50|1|2.50|21.25|30|2017
6.0|Armond Weh-Weh|SR|RB|2|2|12|6.00|0|1.00|6.00|30|2017
7.0|Logan Bonner|FR|QB|4|7|11|1.57|0|1.75|2.75|30|2017
8.0|Justin McInnis|JR|WR|6|1|3|3.00|0|0.17|0.50|30|2017
9.0|Chris Murray|SR|WR|6|3|3|1.00|0|0.50|0.50|30|2017
10.0|Carson Coats|SO|QB|1|1|-6|-6.00|0|1.00|-6.00|30|2017
11.0|Damon Foncham|SO|P|6|1|-18|-18.00|0|0.17|-3.00|30|2017
12.0|Team|||3|5|-51|-10.20|0|1.67|-17.00|30|2017
|Total|||6|202|878|4.35|7|33.67|146.33|30|2017
|Opponents|||6|273|1213|4.44|9|45.50|202.17|30|2017
1.0|Ahmad Bradshaw|SR|QB|8|119|867|7.29|7|14.88|108.38|725|2017
2.0|Kell Walker|SO|RB|7|54|471|8.72|4|7.71|67.29|725|2017
3.0|Darnell Woolfolk|JR|RB|5|73|443|6.07|8|14.60|88.60|725|2017
4.0|Andy Davidson|JR|RB|8|71|376|5.30|2|8.88|47.00|725|2017
5.0|Calen Holt|JR|RB|8|39|202|5.18|1|4.88|25.25|725|2017
6.0|Connor Slomka|SO|RB|8|38|177|4.66|4|4.75|22.13|725|2017
7.0|Jordan Asberry|JR|RB|8|15|97|6.47|0|1.88|12.13|725|2017
8.0|Sandon McCoy|FR|RB|3|12|58|4.83|0|4.00|19.33|725|2017
9.0|Kelvin Hopkins Jr.|SO|QB|7|7|40|5.71|0|1.00|5.71|725|2017
10.0|John Trainor|SR|RB|6|10|33|3.30|1|1.67|5.50|725|2017
11.0|Fred Cooper Jr.|FR|RB|5|7|30|4.29|1|1.40|6.00|725|2017
12.0|Luke Langdon|JR|QB|5|8|24|3.00|1|1.60|4.80|725|2017
13.0|Zack Boobas|FR|RB|1|2|23|11.50|1|2.00|23.00|725|2017
14.0|Artice Hobbs IV|FR|RB|3|2|15|7.50|1|0.67|5.00|725|2017
15.0|Nick Schrage|JR|K|8|1|15|15.00|0|0.13|1.88|725|2017
16.0|TJ Wisham Jr.|FR|RB|3|2|14|7.00|0|0.67|4.67|725|2017
17.0|Dominic Distefano|FR|RB|3|1|10|10.00|0|0.33|3.33|725|2017
18.0|Donovan Franklin|SO|RB|4|1|7|7.00|0|0.25|1.75|725|2017
19.0|Team|||3|4|-5|-1.25|0|1.33|-1.67|725|2017
|Total|||8|466|2897|6.22|31|58.25|362.13|725|2017
|Opponents|||8|256|1412|5.52|13|32.00|176.50|725|2017
1.0|Kerryon Johnson|JR|RB|6|137|723|5.28|14|22.83|120.50|37|2017
2.0|Kamryn Pettway|JR|RB|5|76|305|4.01|6|15.20|61.00|37|2017
3.0|Kam Martin|SO|RB|8|33|264|8.00|1|4.13|33.00|37|2017
4.0|Eli Stove|SO|WR|8|13|195|15.00|0|1.63|24.38|37|2017
5.0|Malik Willis|FR|QB|4|12|156|13.00|1|3.00|39.00|37|2017
6.0|Malik Miller|FR|RB|8|28|115|4.11|0|3.50|14.38|37|2017
7.0|Jarrett Stidham|SO|QB|8|54|75|1.39|2|6.75|9.38|37|2017
8.0|Devan Barrett|FR|RB|8|11|61|5.55|0|1.38|7.63|37|2017
9.0|Noah Igbinoghene|FR|WR|8|1|11|11.00|0|0.13|1.38|37|2017
10.0|Devin Adams|JR|QB|1|2|6|3.00|0|2.00|6.00|37|2017
11.0|Chandler Cox|JR|RB|8|1|0|0.00|0|0.13|0.00|37|2017
12.0|Team|||4|4|-9|-2.25|0|1.00|-2.25|37|2017
|Total|||8|372|1902|5.11|24|46.50|237.75|37|2017
|Opponents|||8|307|995|3.24|5|38.38|124.38|37|2017
1.0|Ula Tolutau|FR|RB|7|72|303|4.21|2|10.29|43.29|77|2017
2.0|Squally Canada|JR|RB|6|45|205|4.56|1|7.50|34.17|77|2017
3.0|Kavika Fonua|JR|RB|4|18|87|4.83|0|4.50|21.75|77|2017
4.0|KJ Hall|SO|RB|3|12|57|4.75|0|4.00|19.00|77|2017
5.0|Austin Kafentzis|SO|RB|5|10|36|3.60|0|2.00|7.20|77|2017
6.0|Trey Dye|JR|RB|7|9|31|3.44|0|1.29|4.43|77|2017
7.0|Beau Hoge|SO|QB|2|9|28|3.11|0|4.50|14.00|77|2017
8.0|Brayden El-Bakri|JR|RB|8|7|19|2.71|0|0.88|2.38|77|2017
9.0|Riley Burt|SO|RB|4|4|9|2.25|0|1.00|2.25|77|2017
10.0|Jonah Trinnaman|SR|WR|8|2|9|4.50|0|0.25|1.13|77|2017
11.0|Beau Tanner|JR|WR|8|1|6|6.00|0|0.13|0.75|77|2017
12.0|Koy Detmer Jr.|SO|QB|1|1|1|1.00|0|1.00|1.00|77|2017
13.0|Jonny Linehan|SR|P|8|1|0|0.00|0|0.13|0.00|77|2017
14.0|Team|||5|4|-25|-6.25|0|0.80|-5.00|77|2017
15.0|Tanner Mangum|JR|QB|6|21|-49|-2.33|0|3.50|-8.17|77|2017
|Total|||8|216|717|3.32|3|27.00|89.63|77|2017
|Opponents|||8|357|1424|3.99|12|44.63|178.00|77|2017
1.0|Caleb Huntley|FR|RB|7|97|467|4.81|3|13.86|66.71|47|2017
2.0|Malik Dunner|SO|RB|7|46|216|4.70|4|6.57|30.86|47|2017
3.0|James Gilbert|JR|RB|3|48|207|4.31|3|16.00|69.00|47|2017
4.0|Riley Neal|JR|QB|3|24|67|2.79|0|8.00|22.33|47|2017
5.0|Markice Hurt Jr.|FR|RB|1|7|17|2.43|0|7.00|17.00|47|2017
6.0|Zack Blair|SO|QB|3|12|15|1.25|0|4.00|5.00|47|2017
7.0|Justin Hall|FR|WR|7|6|6|1.00|0|0.86|0.86|47|2017
8.0|Jack Milas|SR|QB|7|27|-8|-0.30|0|3.86|-1.14|47|2017
9.0|Nathan Snyder|FR|P|7|1|-9|-9.00|0|0.14|-1.29|47|2017
10.0|Team|||3|6|-13|-2.17|0|2.00|-4.33|47|2017
|Total|||7|274|965|3.52|10|39.14|137.86|47|2017
|Opponents|||7|261|1134|4.34|16|37.29|162.00|47|2017
1.0|John Lovett|FR|RB|7|79|403|5.10|4|11.29|57.57|51|2017
2.0|Terence Williams|JR|RB|4|39|155|3.97|0|9.75|38.75|51|2017
3.0|JaMycal Hasty|SO|RB|3|27|111|4.11|1|9.00|37.00|51|2017
4.0|Anu Solomon|SR|QB|2|16|106|6.63|0|8.00|53.00|51|2017
5.0|Trestan Ebner|FR|RB|7|13|95|7.31|2|1.86|13.57|51|2017
6.0|Charlie Brewer|FR|QB|3|16|68|4.25|0|5.33|22.67|51|2017
7.0|Tony Nicholson|SO|WR|7|4|41|10.25|0|0.57|5.86|51|2017
8.0|Chris Platt|JR|WR|4|4|36|9.00|0|1.00|9.00|51|2017
9.0|Dru Dixon|FR|RB|3|10|29|2.90|0|3.33|9.67|51|2017
10.0|Jared Atkinson|SO|WR|7|1|7|7.00|0|0.14|1.00|51|2017
11.0|Connor Martin|SO|K|7|2|5|2.50|0|0.29|0.71|51|2017
12.0|Blake Lynch|SO|WR|7|1|-1|-1.00|0|0.14|-0.14|51|2017
13.0|Denzel Mims|SO|WR|7|1|-6|-6.00|0|0.14|-0.86|51|2017
14.0|Team|||3|3|-32|-10.67|0|1.00|-10.67|51|2017
15.0|Zach Smith|SO|QB|7|26|-79|-3.04|0|3.71|-11.29|51|2017
|Total|||7|242|938|3.88|7|34.57|134.00|51|2017
|Opponents|||7|289|1565|5.42|15|41.29|223.57|51|2017
1.0|Alexander Mattison|SO|RB|7|109|503|4.61|5|15.57|71.86|66|2017
2.0|Montell Cozart|SR|QB|7|58|260|4.48|4|8.29|37.14|66|2017
3.0|Ryan Wolpin|SR|RB|7|56|174|3.11|1|8.00|24.86|66|2017
4.0|Robert Mahone|FR|RB|6|10|36|3.60|0|1.67|6.00|66|2017
5.0|Jake Roh|SR|TE|7|5|23|4.60|2|0.71|3.29|66|2017
6.0|CT Thomas|FR|WR|7|2|8|4.00|0|0.29|1.14|66|2017
7.0|Cedrick Wilson|SR|WR|7|1|1|1.00|0|0.14|0.14|66|2017
8.0|Akilian Butler|JR|WR|2|1|0|0.00|0|0.50|0.00|66|2017
9.0|Alec Dhaenens|SR|TE|7|1|-5|-5.00|0|0.14|-0.71|66|2017
10.0|Brett Rypien|JR|QB|6|14|-6|-0.43|0|2.33|-1.00|66|2017
11.0|Team|||7|11|-16|-1.45|0|1.57|-2.29|66|2017
|Total|||7|268|978|3.65|12|38.29|139.71|66|2017
|Opponents|||7|243|723|2.98|8|34.71|103.29|66|2017
1.0|AJ Dillon|FR|RB|8|152|694|4.57|6|19.00|86.75|67|2017
2.0|Jon Hilliman|JR|RB|8|118|391|3.31|3|14.75|48.88|67|2017
3.0|Thadd Smith|SR|WR|8|23|238|10.35|1|2.88|29.75|67|2017
4.0|Anthony Brown|FR|QB|8|36|162|4.50|0|4.50|20.25|67|2017
5.0|Travis Levy|FR|RB|8|11|45|4.09|0|1.38|5.63|67|2017
6.0|Davon Jones|SO|RB|7|4|25|6.25|0|0.57|3.57|67|2017
7.0|Jeff Smith|JR|WR|8|4|19|4.75|0|0.50|2.38|67|2017
8.0|Darius Wade|SR|QB|5|5|18|3.60|0|1.00|3.60|67|2017
9.0|Richard Wilson|JR|RB|1|2|5|2.50|0|2.00|5.00|67|2017
10.0|Ben Glines|SO|WR|8|1|3|3.00|0|0.13|0.38|67|2017
11.0|Team|||4|5|-50|-10.00|0|1.25|-12.50|67|2017
|Total|||8|361|1550|4.29|10|45.13|193.75|67|2017
|Opponents|||8|339|1792|5.29|21|42.38|224.00|67|2017
1.0|Josh Cleveland|SR|RB|8|99|504|5.09|2|12.38|63.00|71|2017
2.0|Andrew Clair|FR|RB|7|63|454|7.21|2|9.00|64.86|71|2017
3.0|Donovan Wilson|SR|RB|8|39|128|3.28|0|4.88|16.00|71|2017
4.0|Matt Domer|SO|RB|5|17|102|6.00|1|3.40|20.40|71|2017
5.0|Grant Loy|FR|QB|4|18|45|2.50|1|4.50|11.25|71|2017
6.0|Terence Stephens Jr.|SO|RB|7|6|34|5.67|0|0.86|4.86|71|2017
7.0|Bryson Denley|FR|RB|3|3|19|6.33|0|1.00|6.33|71|2017
8.0|Leonard Skattebo|SR|RB|8|3|10|3.33|0|0.38|1.25|71|2017
9.0|Janarvis Pough|SO|WR|8|1|-1|-1.00|0|0.13|-0.13|71|2017
10.0|Jarret Doege|FR|QB|3|9|-16|-1.78|0|3.00|-5.33|71|2017
11.0|James Morgan|SO|QB|7|26|-37|-1.42|0|3.71|-5.29|71|2017
12.0|Team|||5|6|-40|-6.67|0|1.20|-8.00|71|2017
|Total|||8|290|1202|4.14|6|36.25|150.25|71|2017
|Opponents|||8|366|2064|5.64|21|45.75|258.00|71|2017
1.0|Emmanuel Reed|SO|RB|8|122|495|4.06|5|15.25|61.88|86|2017
2.0|Tyree Jackson|SO|QB|5|40|227|5.68|4|8.00|45.40|86|2017
3.0|Theo Anderson|FR|RB|6|56|169|3.02|1|9.33|28.17|86|2017
4.0|Johnathan Hawkins|JR|RB|3|35|127|3.63|1|11.67|42.33|86|2017
5.0|Drew Anderson|JR|QB|5|11|92|8.36|1|2.20|18.40|86|2017
6.0|Jamarl Eiland|SR|WR|7|3|25|8.33|0|0.43|3.57|86|2017
7.0|Kameron Pickett|FR|RB|1|5|7|1.40|0|5.00|7.00|86|2017
8.0|Jacob Martinez|SR|WR|8|1|1|1.00|0|0.13|0.13|86|2017
9.0|Anthony Johnson|JR|WR|8|4|-5|-1.25|0|0.50|-0.63|86|2017
10.0|Team|||3|4|-7|-1.75|0|1.33|-2.33|86|2017
11.0|Kyle Vantrease|FR|QB|2|8|-26|-3.25|0|4.00|-13.00|86|2017
|Total|||8|289|1105|3.82|12|36.13|138.13|86|2017
|Opponents|||8|399|1809|4.53|17|49.88|226.13|86|2017
1.0|Patrick Laird|JR|RB|7|93|530|5.70|6|13.29|75.71|107|2017
2.0|Vic Enwere|SR|RB|8|86|304|3.53|4|10.75|38.00|107|2017
3.0|Tre Watson|SR|RB|2|17|83|4.88|0|8.50|41.50|107|2017
4.0|Derrick Clark|FR|RB|5|13|45|3.46|0|2.60|9.00|107|2017
5.0|Demetris Robertson|SO|WR|2|2|40|20.00|1|1.00|20.00|107|2017
6.0|Zion Echols|FR|RB|5|11|13|1.18|0|2.20|2.60|107|2017
7.0|Malik McMorris|JR|RB|8|3|6|2.00|0|0.38|0.75|107|2017
8.0|Jeremiah Hawkins|FR|WR|6|1|-4|-4.00|0|0.17|-0.67|107|2017
9.0|Chase Forrest|JR|QB|3|2|-4|-2.00|0|0.67|-1.33|107|2017
10.0|Vic Wharton III|JR|WR|8|1|-5|-5.00|0|0.13|-0.63|107|2017
11.0|Team|||6|3|-43|-14.33|0|0.50|-7.17|107|2017
12.0|Ross Bowers|SO|QB|8|44|-106|-2.41|2|5.50|-13.25|107|2017
|Total|||8|276|859|3.11|13|34.50|107.38|107|2017
|Opponents|||8|316|1403|4.44|17|39.50|175.38|107|2017
1.0|Jonathan Ward|SO|RB|8|96|460|4.79|4|12.00|57.50|129|2017
2.0|Kumehnnu Gwilly|FR|RB|8|47|194|4.13|2|5.88|24.25|129|2017
3.0|Romello Ross|SO|RB|6|28|134|4.79|0|4.67|22.33|129|2017
4.0|Shane Morris|SR|QB|8|51|109|2.14|1|6.38|13.63|129|2017
5.0|Tony Poljan|FR|QB|8|19|103|5.42|0|2.38|12.88|129|2017
6.0|Devon Spalding|SR|RB|6|35|101|2.89|2|5.83|16.83|129|2017
7.0|Berkley Edwards|SR|RB|8|6|15|2.50|0|0.75|1.88|129|2017
8.0|Team|||4|5|-23|-4.60|0|1.25|-5.75|129|2017
|Total|||8|287|1093|3.81|9|35.88|136.63|129|2017
|Opponents|||8|338|1537|4.55|17|42.25|192.13|129|2017
1.0|Benny LeMay|SO|RB|7|86|517|6.01|0|12.29|73.86|458|2017
2.0|Hasaan Klugh|JR|QB|7|100|441|4.41|7|14.29|63.00|458|2017
3.0|Aaron McAllister|FR|RB|8|59|325|5.51|2|7.38|40.63|458|2017
4.0|Robert Washington|SO|RB|3|33|129|3.91|0|11.00|43.00|458|2017
5.0|Brooks Barden|JR|QB|2|5|92|18.40|0|2.50|46.00|458|2017
6.0|Kameron Duncan|FR|RB|2|8|18|2.25|0|4.00|9.00|458|2017
7.0|Chris Montgomery|SR|WR|8|4|13|3.25|0|0.50|1.63|458|2017
8.0|Nate Mullen|SO|WR|8|2|8|4.00|0|0.25|1.00|458|2017
9.0|Trent Bostick|SR|WR|8|1|3|3.00|0|0.13|0.38|458|2017
10.0|Workpeh Kofa|JR|WR|7|1|1|1.00|0|0.14|0.14|458|2017
11.0|Joe Thompson|FR|QB|1|2|-12|-6.00|0|2.00|-12.00|458|2017
|Total|||8|301|1535|5.10|9|37.63|191.88|458|2017
