Rank|Name|Yr|Pos|G|Att|Yards|Avg|TD|Att/G|Yards/G|TeamID|Year
8.0|Brandon Silvers|SR|QB|7|27|9|0.33|3|3.86|1.29|716|2017
9.0|John Johnson|SR|WR|7|1|5|5.00|0|0.14|0.71|716|2017
10.0|Tevaris McCormick|SR|WR|7|2|-2|-1.00|0|0.29|-0.29|716|2017
11.0|Jabir Daughtry-Frye|SO|RB|1|1|-4|-4.00|0|1.00|-4.00|716|2017
12.0|Team|||4|4|-8|-2.00|0|1.00|-2.00|716|2017
|Total|||7|216|1060|4.91|16|30.86|151.43|716|2017
|Opponents|||7|234|644|2.75|3|33.43|92.00|716|2017
1.0|Dontrell Hilliard|SR|RB|7|114|701|6.15|9|16.29|100.14|718|2017
2.0|Sherman Badie|SR|RB|7|42|294|7.00|2|6.00|42.00|718|2017
3.0|Jonathan Banks|JR|QB|6|70|286|4.09|3|11.67|47.67|718|2017
4.0|Darius Bradwell|SO|RB|7|40|247|6.18|2|5.71|35.29|718|2017
5.0|Johnathan Brantley|SO|QB|5|34|193|5.68|3|6.80|38.60|718|2017
6.0|Terren Encalade|JR|WR|7|2|77|38.50|1|0.29|11.00|718|2017
7.0|Stephon Huderson|FR|RB|7|19|70|3.68|1|2.71|10.00|718|2017
8.0|Miles Strickland|FR|RB|1|3|17|5.67|0|3.00|17.00|718|2017
9.0|Jared Bertrand|JR|RB|2|2|5|2.50|0|1.00|2.50|718|2017
10.0|Dane Ledford|FR|QB|1|1|4|4.00|0|1.00|4.00|718|2017
11.0|Andrew Zuckerman|SO|RB|2|2|4|2.00|0|1.00|2.00|718|2017
12.0|Khalil McClain|FR|QB|2|9|3|0.33|0|4.50|1.50|718|2017
13.0|Devin Glenn|JR|WR|7|1|3|3.00|0|0.14|0.43|718|2017
14.0|Jaetavian Toles|FR|WR|6|1|1|1.00|0|0.17|0.17|718|2017
15.0|Jabril Clewis|JR|WR|7|1|0|0.00|0|0.14|0.00|718|2017
16.0|Team|||5|5|-43|-8.60|0|1.00|-8.60|718|2017
|Total|||7|346|1862|5.38|21|49.43|266.00|718|2017
|Opponents|||7|300|1614|5.38|15|42.86|230.57|718|2017
1.0|D'Angelo Brewer|SR|RB|7|166|824|4.96|7|23.71|117.71|719|2017
2.0|Shamari Brooks|FR|RB|8|113|668|5.91|9|14.13|83.50|719|2017
3.0|Chad President|SO|QB|8|54|399|7.39|7|6.75|49.88|719|2017
4.0|Corey Taylor II|SO|RB|2|34|179|5.26|4|17.00|89.50|719|2017
5.0|Luke Skipper|FR|QB|4|27|22|0.81|1|6.75|5.50|719|2017
6.0|Rowdy Simon|SR|RB|5|1|4|4.00|0|0.20|0.80|719|2017
|Total|||8|395|2096|5.31|28|49.38|262.00|719|2017
|Opponents|||8|397|2302|5.80|25|49.63|287.75|719|2017
1.0|Adrian Killins, Jr.|SO|RB|6|49|413|8.43|5|8.17|68.83|128|2017
2.0|McKenzie Milton|SO|QB|6|40|245|6.13|1|6.67|40.83|128|2017
3.0|Taj McGowan|JR|RB|6|51|196|3.84|6|8.50|32.67|128|2017
4.0|Otis Anderson|FR|WR|6|18|157|8.72|1|3.00|26.17|128|2017
5.0|Cordarrian Richardson|FR|RB|5|26|118|4.54|1|5.20|23.60|128|2017
6.0|Greg McCrae|FR|RB|6|17|118|6.94|2|2.83|19.67|128|2017
7.0|Jawon Hamilton|SO|RB|2|14|51|3.64|1|7.00|25.50|128|2017
8.0|Marlon Williams|FR|WR|5|1|47|47.00|0|0.20|9.40|128|2017
9.0|Noah Vedral|FR|QB|4|8|33|4.13|1|2.00|8.25|128|2017
10.0|Dredrick Snelson|SO|WR|6|1|9|9.00|0|0.17|1.50|128|2017
11.0|Tre'Quan Smith|JR|WR|6|4|8|2.00|1|0.67|1.33|128|2017
12.0|Cedric Jordan-Williams|SR|RB|3|4|7|1.75|0|1.33|2.33|128|2017
13.0|Sean Pratt|JR|QB|1|1|1|1.00|0|1.00|1.00|128|2017
14.0|Team|||2|4|-29|-7.25|0|2.00|-14.50|128|2017
|Total|||6|238|1374|5.77|19|39.67|229.00|128|2017
|Opponents|||6|209|799|3.82|6|34.83|133.17|128|2017
1.0|Bolu Olorunfunmi|JR|RB|6|53|316|5.96|4|8.83|52.67|110|2017
2.0|Soso Jamabo|JR|RB|5|63|315|5.00|5|12.60|63.00|110|2017
3.0|Jalen Starks|SO|RB|6|26|107|4.12|4|4.33|17.83|110|2017
4.0|Brandon Stephens|SO|RB|6|14|80|5.71|0|2.33|13.33|110|2017
5.0|Nate Starks|SR|RB|3|10|46|4.60|0|3.33|15.33|110|2017
6.0|Darren Andrews|SR|WR|7|3|37|12.33|0|0.43|5.29|110|2017
7.0|Demetric Felton|FR|WR|6|4|34|8.50|1|0.67|5.67|110|2017
8.0|Giovanni Gentosi|JR|RB|7|2|8|4.00|0|0.29|1.14|110|2017
9.0|Jordan Lasley|JR|WR|5|2|3|1.50|0|0.40|0.60|110|2017
10.0|Austin Roberts|JR|TE|7|1|-1|-1.00|0|0.14|-0.14|110|2017
11.0|Devon Modster|FR|QB|2|1|-6|-6.00|0|0.50|-3.00|110|2017
12.0|Team|||3|2|-9|-4.50|0|0.67|-3.00|110|2017
13.0|Josh Rosen|JR|QB|7|30|-23|-0.77|1|4.29|-3.29|110|2017
|Total|||7|211|907|4.30|15|30.14|129.57|110|2017
|Opponents|||7|348|2124|6.10|18|49.71|303.43|110|2017
1.0|Lexington Thomas|JR|RB|7|118|877|7.43|12|16.86|125.29|465|2017
2.0|Armani Rogers|FR|QB|7|95|535|5.63|6|13.57|76.43|465|2017
3.0|Xzaviar Campbell|JR|RB|7|51|266|5.22|1|7.29|38.00|465|2017
4.0|Charles Williams|SO|RB|1|12|93|7.75|1|12.00|93.00|465|2017
5.0|Kurt Palandech|SR|QB|7|15|76|5.07|0|2.14|10.86|465|2017
6.0|Evan Owens|JR|RB|7|11|68|6.18|0|1.57|9.71|465|2017
7.0|Brandon Presley|SO|WR|7|4|29|7.25|0|0.57|4.14|465|2017
8.0|Drew Tejchman|FR|WR|6|2|21|10.50|0|0.33|3.50|465|2017
9.0|Darren Woods Jr.|SO|WR|7|1|6|6.00|0|0.14|0.86|465|2017
10.0|Team|||4|3|-2|-0.67|0|0.75|-0.50|465|2017
|Total|||7|312|1969|6.31|20|44.57|281.29|465|2017
|Opponents|||7|341|1737|5.09|20|48.71|248.14|465|2017
1.0|Ronald Jones II|JR|RB|7|114|672|5.89|8|16.29|96.00|657|2017
2.0|Stephen Carr|FR|RB|5|52|309|5.94|3|10.40|61.80|657|2017
3.0|Vavae Malepeai|FR|RB|8|32|174|5.44|0|4.00|21.75|657|2017
4.0|Aca'Cedric Ware|JR|RB|8|23|81|3.52|0|2.88|10.13|657|2017
5.0|Matt Fink|FR|QB|2|5|69|13.80|1|2.50|34.50|657|2017
6.0|Sam Darnold|SO|QB|8|43|29|0.67|3|5.38|3.63|657|2017
7.0|Velus Jones Jr.|FR|WR|8|4|12|3.00|0|0.50|1.50|657|2017
8.0|James Toland IV|SR|RB|8|3|9|3.00|0|0.38|1.13|657|2017
9.0|Deontay Burnett|JR|WR|8|1|3|3.00|0|0.13|0.38|657|2017
10.0|Team|||7|10|-18|-1.80|0|1.43|-2.57|657|2017
|Total|||8|287|1340|4.67|15|35.88|167.50|657|2017
|Opponents|||8|296|1404|4.74|12|37.00|175.50|657|2017
1.0|Quardraiz Wadley|SO|RB|4|54|271|5.02|1|13.50|67.75|704|2017
2.0|Kevin Dove|SO|RB|7|44|150|3.41|0|6.29|21.43|704|2017
3.0|Walter Dawn Jr.|SO|RB|7|21|67|3.19|1|3.00|9.57|704|2017
4.0|Zack Greenlee|SR|QB|5|16|37|2.31|1|3.20|7.40|704|2017
5.0|Joshua Fields|FR|RB|6|16|25|1.56|0|2.67|4.17|704|2017
6.0|Keynan Foster|SO|WR|4|2|19|9.50|0|0.50|4.75|704|2017
7.0|Mark Torrez|FR|QB|5|12|17|1.42|1|2.40|3.40|704|2017
8.0|Ronald Awatt|FR|RB|2|5|13|2.60|0|2.50|6.50|704|2017
9.0|Warren Redix|JR|WR|7|1|6|6.00|0|0.14|0.86|704|2017
10.0|Team|||1|1|-1|-1.00|0|1.00|-1.00|704|2017
11.0|Kavika Johnson|JR|WR|7|4|-6|-1.50|0|0.57|-0.86|704|2017
12.0|Ryan Metz|JR|QB|5|14|-15|-1.07|2|2.80|-3.00|704|2017
|Total|||7|190|583|3.07|6|27.14|83.29|704|2017
|Opponents|||7|309|1620|5.24|23|44.14|231.43|704|2017
1.0|Jalen Rhodes|JR|RB|6|90|496|5.51|3|15.00|82.67|706|2017
2.0|Tyrell Clay|SR|RB|6|63|374|5.94|2|10.50|62.33|706|2017
3.0|Dalton Sturm|SR|QB|6|55|315|5.73|1|9.17|52.50|706|2017
4.0|Brett Winnegan|JR|RB|6|6|95|15.83|1|1.00|15.83|706|2017
5.0|B.J. Daniels|FR|RB|4|13|55|4.23|0|3.25|13.75|706|2017
6.0|Greg Campbell Jr.|JR|WR|6|4|35|8.75|0|0.67|5.83|706|2017
7.0|Brady Jones|SR|WR|6|1|-11|-11.00|0|0.17|-1.83|706|2017
8.0|Bryce Rivers|FR|QB|2|2|-12|-6.00|0|1.00|-6.00|706|2017
9.0|Team|||5|9|-13|-1.44|0|1.80|-2.60|706|2017
|Total|||6|243|1334|5.49|8|40.50|222.33|706|2017
|Opponents|||6|199|746|3.75|4|33.17|124.33|706|2017
1.0|Zack Moss|SO|RB|7|105|534|5.09|3|15.00|76.29|732|2017
2.0|Tyler Huntley|SO|QB|5|64|242|3.78|3|12.80|48.40|732|2017
3.0|Devonta'e Henry-Cole|SO|RB|6|32|171|5.34|2|5.33|28.50|732|2017
4.0|Troy McCormick, Jr.|SR|RB|7|8|63|7.88|0|1.14|9.00|732|2017
5.0|Troy Williams|SR|QB|5|28|49|1.75|2|5.60|9.80|732|2017
6.0|Jordan Howard|SR|RB|3|8|35|4.38|0|2.67|11.67|732|2017
7.0|Kyle Fulks|SR|WR|7|3|29|9.67|0|0.43|4.14|732|2017
8.0|Samson Nacua|FR|WR|7|1|3|3.00|0|0.14|0.43|732|2017
9.0|Sunia Tauteoli|SR|LB|6|1|1|1.00|0|0.17|0.17|732|2017
10.0|Demari Simpkins|SO|WR|7|1|-3|-3.00|0|0.14|-0.43|732|2017
11.0|Team|||6|9|-41|-4.56|0|1.50|-6.83|732|2017
|Total|||7|260|1083|4.17|10|37.14|154.71|732|2017
|Opponents|||7|241|923|3.83|8|34.43|131.86|732|2017
1.0|LaJuan Hunt|SR|RB|8|97|404|4.16|5|12.13|50.50|731|2017
2.0|Eltoro Allen|JR|RB|8|67|278|4.15|1|8.38|34.75|731|2017
3.0|Kent Myers|SR|QB|8|75|259|3.45|5|9.38|32.38|731|2017
4.0|Justen Hervey|JR|RB|8|25|110|4.40|1|3.13|13.75|731|2017
5.0|Jordan Love|FR|QB|7|15|63|4.20|1|2.14|9.00|731|2017
6.0|Tre Miller|FR|RB|2|13|53|4.08|0|6.50|26.50|731|2017
7.0|Jordan Nathan|FR|WR|8|6|30|5.00|0|0.75|3.75|731|2017
8.0|Tonny Lindsey, Jr.|SR|RB|1|6|28|4.67|0|6.00|28.00|731|2017
9.0|Aaren Vaughns|JR|WR|7|2|22|11.00|0|0.29|3.14|731|2017
10.0|Jacoby Wildman|SO|DL|8|1|11|11.00|0|0.13|1.38|731|2017
11.0|Savon Scarver|FR|WR|8|3|11|3.67|0|0.38|1.38|731|2017
12.0|Ron'quavion Tarver|JR|WR|8|0|9|-|0|-|-|731|2017
13.0|Chad Artist|SO|WR|1|1|7|7.00|0|1.00|7.00|731|2017
14.0|Gerold Bright|SO|WR|7|1|6|6.00|0|0.14|0.86|731|2017
15.0|DJ Nelson|JR|QB|7|2|1|0.50|1|0.29|0.14|731|2017
16.0|Braelon Roberts|SR|WR|8|1|0|0.00|0|0.13|0.00|731|2017
17.0|Jaren Colston-Green|SR|WR|6|1|-3|-3.00|0|0.17|-0.50|731|2017
18.0|Team|||3|5|-18|-3.60|0|1.67|-6.00|731|2017
|Total|||8|321|1271|3.96|14|40.13|158.88|731|2017
|Opponents|||8|366|1632|4.46|14|45.75|204.00|731|2017
1.0|Ralph Webb|SR|RB|7|110|408|3.71|5|15.71|58.29|736|2017
2.0|Khari Blasingame|JR|RB|7|43|140|3.26|0|6.14|20.00|736|2017
3.0|Jamauri Wakefield|FR|RB|6|19|83|4.37|0|3.17|13.83|736|2017
4.0|Donaven Tennyson|SO|WR|5|1|48|48.00|0|0.20|9.60|736|2017
5.0|Trent Sherfield|SR|WR|7|2|18|9.00|0|0.29|2.57|736|2017
6.0|C.J. Duncan|SR|WR|7|0|10|-|0|-|-|736|2017
7.0|Sam Dobbs|JR|TE|7|1|10|10.00|0|0.14|1.43|736|2017
8.0|Kalija Lipscomb|SO|WR|7|2|6|3.00|0|0.29|0.86|736|2017
9.0|Team|||3|5|-6|-1.20|0|1.67|-2.00|736|2017
10.0|Kyle Shurmur|JR|QB|7|14|-69|-4.93|2|2.00|-9.86|736|2017
|Total|||7|197|648|3.29|7|28.14|92.57|736|2017
|Opponents|||7|305|1698|5.57|19|43.57|242.57|736|2017
1.0|Jordan Ellis|JR|RB|7|142|602|4.24|5|20.29|86.00|746|2017
2.0|Olamide Zaccheaus|JR|RB|7|16|142|8.88|1|2.29|20.29|746|2017
3.0|Daniel Hamm|SR|RB|7|24|86|3.58|1|3.43|12.29|746|2017
4.0|Joe Reed|SO|WR|6|6|32|5.33|1|1.00|5.33|746|2017
5.0|De'Vante Cross|FR|QB|7|5|27|5.40|0|0.71|3.86|746|2017
6.0|PK Kier|FR|RB|7|2|16|8.00|0|0.29|2.29|746|2017
7.0|Chris Sharp|SO|RB|7|6|10|1.67|0|0.86|1.43|746|2017
8.0|Nash Griffin|FR|K|4|1|3|3.00|0|0.25|0.75|746|2017
9.0|Lamont Atkins|FR|RB|7|1|1|1.00|0|0.14|0.14|746|2017
10.0|Kurt Benkert|SR|QB|7|27|-18|-0.67|0|3.86|-2.57|746|2017
11.0|Team|||4|9|-37|-4.11|0|2.25|-9.25|746|2017
|Total|||7|239|864|3.62|8|34.14|123.43|746|2017
|Opponents|||7|261|1095|4.20|9|37.29|156.43|746|2017
1.0|Travon McMillian|JR|RB|7|66|324|4.91|2|9.43|46.29|742|2017
2.0|Coleman Fox|SO|RB|6|36|211|5.86|1|6.00|35.17|742|2017
3.0|Josh Jackson|FR|QB|7|60|173|2.88|1|8.57|24.71|742|2017
4.0|Deshawn McClease|SO|RB|6|38|159|4.18|2|6.33|26.50|742|2017
5.0|Steven Peoples|JR|RB|4|36|133|3.69|2|9.00|33.25|742|2017
6.0|AJ Bush|JR|QB|3|13|116|8.92|0|4.33|38.67|742|2017
7.0|Jalen Holston|FR|RB|6|34|95|2.79|2|5.67|15.83|742|2017
8.0|Sean Savoy|FR|WR|7|13|44|3.38|1|1.86|6.29|742|2017
9.0|Kalil Pimpleton|FR|WR|4|1|4|4.00|0|0.25|1.00|742|2017
10.0|Henri Murphy|JR|WR|5|1|3|3.00|0|0.20|0.60|742|2017
11.0|James Clark|SR|WR|4|3|2|0.67|0|0.75|0.50|742|2017
12.0|Hezekiah Grimsley|FR|WR|6|1|1|1.00|0|0.17|0.17|742|2017
13.0|C.J. Carroll|JR|WR|5|5|-1|-0.20|0|1.00|-0.20|742|2017
14.0|Team|||4|7|-11|-1.57|0|1.75|-2.75|742|2017
|Total|||7|314|1253|3.99|11|44.86|179.00|742|2017
|Opponents|||7|254|785|3.09|2|36.29|112.14|742|2017
1.0|John Wolford|SR|QB|6|70|327|4.67|5|11.67|54.50|749|2017
2.0|Arkeem Byrd|FR|RB|7|55|304|5.53|1|7.86|43.43|749|2017
3.0|Cade Carney|SO|RB|6|55|215|3.91|1|9.17|35.83|749|2017
4.0|Matt Colburn II|JR|RB|7|48|183|3.81|2|6.86|26.14|749|2017
5.0|Kendall Hinton|SO|QB|3|37|118|3.19|1|12.33|39.33|749|2017
6.0|Isaiah Robinson|JR|RB|2|19|61|3.21|0|9.50|30.50|749|2017
7.0|Greg Dortch|FR|WR|7|6|15|2.50|0|0.86|2.14|749|2017
8.0|Jamie Newman|FR|QB|2|1|5|5.00|0|0.50|2.50|749|2017
9.0|Tabari Hines|JR|WR|7|1|-4|-4.00|0|0.14|-0.57|749|2017
10.0|Team|||5|4|-20|-5.00|0|0.80|-4.00|749|2017
|Total|||7|296|1204|4.07|10|42.29|172.00|749|2017
|Opponents|||7|309|1279|4.14|9|44.14|182.71|749|2017
1.0|Myles Gaskin|JR|RB|7|104|626|6.02|8|14.86|89.43|756|2017
2.0|Lavon Coleman|SR|RB|6|42|200|4.76|1|7.00|33.33|756|2017
3.0|Salvon Ahmed|FR|RB|7|37|174|4.70|2|5.29|24.86|756|2017
4.0|Sean McGrew|FR|RB|6|14|50|3.57|2|2.33|8.33|756|2017
5.0|Jake Browning|JR|QB|7|31|41|1.32|4|4.43|5.86|756|2017
6.0|Ralph Kinne|SR|RB|1|3|9|3.00|0|3.00|9.00|756|2017
7.0|Chico McClatcher|JR|WR|3|2|9|4.50|0|0.67|3.00|756|2017
8.0|Trey Adams|JR|OL|7|1|9|9.00|0|0.14|1.29|756|2017
9.0|Kamari Pleasant|FR|RB|2|1|5|5.00|0|0.50|2.50|756|2017
10.0|Quinten Pounds|SO|WR|7|1|0|0.00|0|0.14|0.00|756|2017
11.0|Daniel Bridge-Gadd|FR|QB|1|1|-1|-1.00|0|1.00|-1.00|756|2017
12.0|Team|||2|2|-4|-2.00|0|1.00|-2.00|756|2017
13.0|K.J. Carta-Samuels|JR|QB|6|1|-6|-6.00|0|0.17|-1.00|756|2017
|Total|||7|240|1112|4.63|17|34.29|158.86|756|2017
|Opponents|||7|235|511|2.17|3|33.57|73.00|756|2017
1.0|Jamal Morrow|SR|RB|8|56|412|7.36|3|7.00|51.50|754|2017
2.0|James Williams|SO|RB|8|72|308|4.28|1|9.00|38.50|754|2017
3.0|Gerard Wicks|SR|RB|8|28|134|4.79|1|3.50|16.75|754|2017
4.0|Keith Harrington|JR|RB|8|5|20|4.00|0|0.63|2.50|754|2017
5.0|Team|||2|2|-4|-2.00|0|1.00|-2.00|754|2017
6.0|Tyler Hilinski|SO|QB|6|6|-75|-12.50|0|1.00|-12.50|754|2017
7.0|Luke Falk|SR|QB|8|49|-82|-1.67|0|6.13|-10.25|754|2017
|Total|||8|218|713|3.27|5|27.25|89.13|754|2017
|Opponents|||8|279|961|3.44|10|34.88|120.13|754|2017
1.0|Justin Crawford|SR|RB|7|104|639|6.14|7|14.86|91.29|768|2017
2.0|Kennedy McKoy|SO|RB|6|52|306|5.88|3|8.67|51.00|768|2017
3.0|Martell Pettaway|SO|RB|7|26|103|3.96|1|3.71|14.71|768|2017
4.0|Will Grier|JR|QB|7|49|98|2.00|2|7.00|14.00|768|2017
5.0|Tevin Bush|FR|RB|6|20|81|4.05|0|3.33|13.50|768|2017
6.0|Elijah Wellman|SR|TE|7|2|9|4.50|0|0.29|1.29|768|2017
7.0|Team|||5|2|-4|-2.00|0|0.40|-0.80|768|2017
8.0|Chris Chugunov|SO|QB|2|2|-4|-2.00|0|1.00|-2.00|768|2017
|Total|||7|257|1228|4.78|13|36.71|175.43|768|2017
|Opponents|||7|282|1391|4.93|11|40.29|198.71|768|2017
1.0|Quinton Baker|SO|RB|5|53|214|4.04|1|10.60|42.80|772|2017
2.0|D'Andre Ferby|JR|RB|5|45|151|3.36|2|9.00|30.20|772|2017
3.0|Jakairi Moses|FR|RB|5|40|148|3.70|2|8.00|29.60|772|2017
4.0|Marquez Trigg|SO|RB|6|45|147|3.27|2|7.50|24.50|772|2017
5.0|Jahcour Pearson|FR|WR|6|2|14|7.00|0|0.33|2.33|772|2017
6.0|Drew Eckels|JR|QB|4|5|13|2.60|0|1.25|3.25|772|2017
7.0|Cameron Echols-Luper|SR|WR|6|2|6|3.00|0|0.33|1.00|772|2017
8.0|Marcelis Logan|JR|RB|1|1|0|0.00|0|1.00|0.00|772|2017
9.0|Team|||4|3|-13|-4.33|0|0.75|-3.25|772|2017
10.0|Nacarius Fant|SR|WR|7|1|-21|-21.00|0|0.14|-3.00|772|2017
11.0|Mike White|SR|QB|7|30|-92|-3.07|5|4.29|-13.14|772|2017
|Total|||7|227|567|2.50|12|32.43|81.00|772|2017
|Opponents|||7|251|1126|4.49|12|35.86|160.86|772|2017
1.0|Jarvion Franklin|SR|RB|8|145|642|4.43|7|18.13|80.25|774|2017
2.0|Jamauri Bogan|JR|RB|8|103|536|5.20|2|12.88|67.00|774|2017
3.0|LeVante Bellamy|SO|RB|6|49|394|8.04|3|8.17|65.67|774|2017
4.0|Jon Wassink|SO|QB|8|41|126|3.07|3|5.13|15.75|774|2017
5.0|Davon Tucker|SO|RB|8|28|119|4.25|2|3.50|14.88|774|2017
6.0|Leo Ekwoge|JR|RB|6|4|34|8.50|0|0.67|5.67|774|2017
7.0|Reece Goddard|FR|QB|4|8|17|2.13|0|2.00|4.25|774|2017
8.0|Darius Phillips|SR|DB|8|1|8|8.00|0|0.13|1.00|774|2017
9.0|D'Wayne Eskridge|SO|WR|8|2|7|3.50|0|0.25|0.88|774|2017
10.0|Keishawn Watson|SO|WR|8|1|4|4.00|0|0.13|0.50|774|2017
11.0|Team|||3|1|-2|-2.00|0|0.33|-0.67|774|2017
|Total|||8|383|1885|4.92|17|47.88|235.63|774|2017
|Opponents|||8|284|1144|4.03|16|35.50|143.00|774|2017
1.0|Jonathan Taylor|FR|RB|7|149|1112|7.46|11|21.29|158.86|796|2017
2.0|Bradrick Shaw|SO|RB|6|62|239|3.85|2|10.33|39.83|796|2017
3.0|Garrett Groshek|FR|RB|7|24|168|7.00|1|3.43|24.00|796|2017
4.0|Chris James|JR|RB|5|29|148|5.10|0|5.80|29.60|796|2017
5.0|Rachid Ibrahim|SR|RB|7|22|114|5.18|0|3.14|16.29|796|2017
6.0|Austin Ramesh|SR|RB|7|10|34|3.40|2|1.43|4.86|796|2017
7.0|Derrick Tindal|SR|DB|7|2|14|7.00|0|0.29|2.00|796|2017
8.0|Alec Ingold|JR|RB|7|4|13|3.25|0|0.57|1.86|796|2017
9.0|Jazz Peavy|SR|WR|5|3|7|2.33|0|0.60|1.40|796|2017
10.0|A.J. Taylor|SO|WR|7|2|5|2.50|0|0.29|0.71|796|2017
11.0|Danny Davis III|FR|WR|6|2|4|2.00|0|0.33|0.67|796|2017
12.0|Quintez Cephus|SO|WR|7|2|-1|-0.50|0|0.29|-0.14|796|2017
13.0|Team|||5|6|-8|-1.33|0|1.20|-1.60|796|2017
14.0|Alex Hornibrook|SO|QB|7|11|-51|-4.64|0|1.57|-7.29|796|2017
|Total|||7|328|1798|5.48|16|46.86|256.86|796|2017
|Opponents|||7|209|616|2.95|2|29.86|88.00|796|2017
1.0|Trey Woods|FR|RB|6|78|325|4.17|1|13.00|54.17|811|2017
2.0|Josh Allen|JR|QB|7|64|142|2.22|3|9.14|20.29|811|2017
3.0|Kellen Overstreet|SO|RB|7|31|114|3.68|1|4.43|16.29|811|2017
4.0|Milo Hall|SO|RB|7|33|90|2.73|0|4.71|12.86|811|2017
5.0|Avante' Cox|FR|WR|6|2|14|7.00|0|0.33|2.33|811|2017
6.0|Nico Evans|JR|RB|7|6|12|2.00|0|0.86|1.71|811|2017
7.0|Austin Conway|SO|WR|7|6|7|1.17|1|0.86|1.00|811|2017
8.0|Jaylon Watson|SO|RB|7|0|1|-|0|-|-|811|2017
9.0|C.J. Johnson|SO|WR|7|1|-1|-1.00|0|0.14|-0.14|811|2017
10.0|Team|||3|3|-6|-2.00|0|1.00|-2.00|811|2017
|Total|||7|224|698|3.12|6|32.00|99.71|811|2017
|Opponents|||7|328|1220|3.72|11|46.86|174.29|811|2017
